# Copyright 2021 Google LLC
# Copyright 2022 @drashna
# Copyright 2022 @filterpaper
# SPDX-License-Identifier: Apache-2.0
# Original source: https://getreuer.info/posts/keyboards/autocorrection

illution       -> illusion
ilness         -> illness
imagenary      -> imaginary
imcomplete     -> incomplete
imediately     -> immediately
imense         -> immense
immediatley    -> immediately
immediatly     -> immediately
implamenting   -> implementing
impliment      -> implement
imprioned      -> imprisoned
imprisonned    -> imprisoned
improvment     -> improvement
inadiquate     -> inadequate
incidentially  -> incidentally
incidently     -> incidentally
includ:        -> include
includng       -> including
inclued        -> include
incomptable    -> incompatible
incomptetent   -> incompetent
incramentally  -> incrementally
increadible    -> incredible
incredable     -> incredible
inctroduce     -> introduce
incuding       -> including
indentical     -> identical
indepedence    -> independence
independant    -> independent
independece    -> independence
indigineous    -> indigenous
indipendence   -> independence
indispensible  -> indispensable
inevitible     -> inevitable
inevititably   -> inevitably
infomation     -> information
informtion     -> information
inherantly     -> inherently
initiaitive    -> initiative
inlcuding      -> including
innoculate     -> inoculate
inocence       -> innocence
intelectual    -> intellectual
inteligence    -> intelligence
inteligent     -> intelligent
intput         -> input
intutive       -> intuitive
inventer       -> inventor
iresistably    -> irresistibly
iresistible    -> irresistible
iresistibly    -> irresistibly
iritable       -> irritable
iritated       -> irritated
jeapardy       -> jeopardy
jewllery       -> jewellery
jouney         -> journey
jsut           -> just
judical        -> judicial
judisuary      -> judiciary
juducial       -> judicial
juristiction   -> jurisdiction
kindergarden   -> kindergarten
knifes         -> knives
knive:         -> knife
knowlege       -> knowledge
knwo:          -> know
laguage        -> language
launhed        -> launched
lavae          -> larvae
lazyness       -> laziness
legitamate     -> legitimate
legitmate      -> legitimate
lenght         -> length
levle          -> level
liasion        -> liaison
liason         -> liaison
libary         -> library
liek           -> like
likelyhood     -> likelihood
liquify        -> liquefy
liscense       -> license
lisence        -> license
lisense        -> license
listner        -> listener
looses:        -> loses
looup          -> lookup
maintainance   -> maintenance
maintainence   -> maintenance
maintance      -> maintenance
maintenence    -> maintenance
maintinaing    -> maintaining
maintnance     -> maintenance
managment      -> management
mariage        -> marriage
marjority      -> majority
markes         -> marks
meaninng       -> meaning
messanger      -> messenger
messenging     -> messaging
milennium      -> millennium
millenium      -> millennium
misile         -> missile
mispell        -> misspell
missle         -> missile
misterious     -> mysterious
mistery        -> mystery
mkae           -> make
moeny          -> money
morgage        -> mortgage
mortage        -> mortgage
movei          -> movie
mroe           -> more
mysef          -> myself
mysogynist     -> misogynist
mysogyny       -> misogyny
naieve         -> naive
namespcae      -> namespace
naturaly       -> naturally
neccesarily    -> necessarily
neccesary      -> necessary
neccessarily   -> necessarily
neccessary     -> necessary
neccessities   -> necessities
necesarily     -> necessarily
necesary       -> necessary
necessery      -> necessary
necessiate     -> necessitate
neglible       -> negligible
negligable     -> negligible
negotation     -> negotiation
neice          -> niece
neigborhood    -> neighbourhood
nineth         -> ninth
ninteenth      -> nineteenth
nmae:          -> name
nonsence       -> nonsense
nontheless     -> nonetheless
noone          -> no one
norhern        -> northern
northen        -> northern
noteriety      -> notoriety
noticable      -> noticeable
noticably      -> noticeably
noticeing      -> noticing
noticible      -> noticeable
nutritent      -> nutrient
nuturing       -> nurturing
obssessed      -> obsessed
occassion      -> occasion
occour         -> occur
occured        -> occurred
orignal        -> original
ouptut         -> output
ouput          -> output
outragous      -> outrageous
overide        -> override
overwelming    -> overwhelming
owudl          -> would
pamplet        -> pamphlet
paralel        -> parallel
particually    -> particularly
particualr     -> particular
particuarly    -> particularly
particularily  -> particularly
particulary    -> particularly
pased          -> passed
pasenger       -> passenger
payed          -> paid
percieve       -> perceive
personel       -> personnel
plagerize      -> plagiarize
poeple         -> people
posession      -> possession
possesion      -> possession
postion        -> position
pramga:        -> pragma
privelege      -> privilege
priviledge     -> privilege
pronounciation -> pronunciation
pseudonyn      -> pseudonym
psuedo         -> pseudo
psyhic         -> psychic
publically     -> publicly
purposedly     -> purposely
purpotedly     -> purportedly
pursuade       -> persuade
quantaty       -> quantity
quarantaine    -> quarantine
quarentine     -> quarantine
questonable    -> questionable
quinessential  -> quintessential
quizes         -> quizzes
raelly         -> really
realy:         -> really
realyl         -> really
recieve        -> receive
refered        -> referred
relevent       -> relevant
repitition     -> repetition
restarant      -> restaurant
restaraunt     -> restaurant
retrun         -> return
retun          -> return
reuslt         -> result
reutrn         -> return
sandwhich      -> sandwich
saught         -> sought
scirpt         -> script
seach          -> search
seige          -> siege
seing          -> seeing
senstive       -> sensitive
seperate       -> separate
settlment      -> settlement
severeal       -> several
sevice         -> service
sheild         -> shield
shiped         -> shipped
shiping        -> shipping
sholud         -> should
shoudl         -> should
shreak         -> shriek
shrinked       -> shrunk
shure          -> sure
sicne          -> since
siezure        -> seizure
singed         -> signed
sneek:         -> sneak
speach         -> speech
stirng         -> string
suprise        -> surprise
surprize       -> surprise
swithc         -> switch
swtich         -> switch
tahn:          -> than
taht:          -> that
theather       -> theater
theif          -> thief
theives        -> thieves
thign          -> thing
thigsn         -> things
thikn          -> think
thnig          -> thing
thoughout      -> throughout
threee         -> three
thresold       -> threshold
thsoe          -> those
tihkn          -> think
todya          -> today
tommorow       -> tomorrow
tommorrow      -> tomorrow
tongiht        -> tonight
truely         -> truly
twelth         -> twelfth
tyrany         -> tyranny
udpate         -> update
ultimely       -> ultimately
unahppy        -> unhappy
unanymous      -> unanimous
undoubtely     -> undoubtedly
unecessary     -> unnecessary
useage         -> usage
usualy         -> usually
ususally       -> usually
vaccum:        -> vacuum
vaccume        -> vacuum
vaccuum        -> vacuum
verison        -> version
virtualy       -> virtually
virutally      -> virtually
visably        -> visibly
visious        -> vicious
volumne        -> volume
widht          -> width
wierd          -> weird
woudl          -> would
wriet          -> write
writen         -> written
wroet          -> wrote
yeasr          -> years
yeild          -> yield
youself        -> yourself
